College,City,State,SAT,ACT,price-without-aid,price-with-avg-grant,students-with-need-who-get-grants,Average-Student-Debt,Early-career-earnings
Asbury University,Wilmore, KY,1120,25,41500,25500,0.69,25900,37400
Mercyhurst University,Erie, PA,NA,NA,53000,23200,1.00,26700,42200
Stetson University,DeLand, FL,NA,NA,62800,27100,0.99,27000,44100
Rollins College,Winter Park, FL,NA,NA,69400,38400,1.00,26000,45700
Florida Agricultural and Mechanical University,Tallahassee, FL,990,22,23400,14100,0.86,28500,45900
Ringling College of Art and Design,Sarasota, FL,NA,NA,67100,47700,1.00,27000,45000
Georgia Southern University,Statesboro, GA,1110,24,23400,17300,0.82,23000,46300
Eastern University,Saint Davids, PA,1040,21,49400,24600,0.85,26500,42700
Morehouse College,Atlanta, GA,980,22,49900,33700,0.83,27000,52100
Champlain College,Burlington, VT,1130,25,59400,41200,0.96,26600,48800
Roanoke College,Salem, VA,1090,24,60800,32200,0.98,27000,45200
Bluffton University,Bluffton, OH,NA,22,47300,27000,0.99,27000,39200
Davenport University,Grand Rapids, MI,NA,NA,31400,18000,N/A,26800,43700
Belmont University,Nashville, TN,1150,27,52000,37200,0.88,21800,44000
Bowling Green State University-Main Campus,Bowling Green, OH,1030,22,25200,18600,0.82,26000,44500
Johnson & Wales University-Providence,Providence, RI,NA,NA,50400,30300,0.86,26900,44500
Mills College,Oakland, CA,1080,26,65300,29700,0.92,23500,47300
Ohio University-Main Campus,Athens, OH,1100,24,27900,23500,0.77,20500,48300
Indiana University of Pennsylvania-Main Campus,Indiana, PA,950,20,28000,18500,0.67,27000,44200
Winthrop University,Rock Hill, SC,1020,23,28900,17900,0.91,27000,41600
North Carolina Central University,Durham, NC,880,18,22700,11600,0.83,31000,41600
