College Name	City	State	SAT	ACT	price-without-aid	price-with-avg-grant	students-with-need-who-get-grants	Average-Student-Debt	Early-career-earnings
Biola University	La Mirada	 CA	1090	24	"$55,800 "	"$34,700 "	98%	"$24,500 "	"$47,000 "
Central Connecticut State University	New Britain	 CT	1000	22	"$25,800 "	"$15,900 "	61%	"$22,500 "	"$49,900 "
Wagner College	Staten Island	 NY	NA	NA	"$63,700 "	"$29,200 "	99%	"$26,400 "	"$53,900 "
American University	Washington	 DC	1250	29	"$65,800 "	"$34,100 "	87%	"$24,300 "	"$51,800 "
Lakeland University	Plymouth	 WI	910	19	"$42,200 "	"$22,800 "	86%	"$25,500 "	"$45,200 "
Marian University - Wisconsin	Fond Du Lac	 WI	NA	20	"$39,900 "	"$23,200 "	98%	"$27,000 "	"$46,100 "
Xavier University	Cincinnati	 OH	1100	26	"$53,600 "	"$29,800 "	67%	"$27,000 "	"$48,600 "
Washington & Jefferson College	Washington	 PA	NA	NA	"$61,600 "	"$29,100 "	85%	"$27,000 "	"$45,800 "
Willamette University	Salem	 OR	NA	NA	"$63,800 "	"$35,000 "	99%	"$26,000 "	"$47,700 "
Longwood University	Farmville	 VA	970	21	"$27,600 "	"$20,200 "	76%	"$25,000 "	"$44,500 "
University of Puget Sound	Tacoma	 WA	NA	NA	"$65,000 "	"$43,400 "	99%	"$27,000 "	"$50,500 "
Otis College of Art and Design	Los Angeles	 CA	NA	NA	"$66,200 "	"$42,300 "	99%	"$27,000 "	"$49,600 "
Iona College	New Rochelle	 NY	1000	23	"$57,200 "	"$29,000 "	41%	"$26,000 "	"$52,000 "
Texas State University	San Marcos	 TX	1030	23	"$23,200 "	"$13,600 "	81%	"$21,300 "	"$46,900 "
MidAmerica Nazarene University	Olathe	 KS	890	22	"$43,100 "	"$19,800 "	96%	"$18,800 "	"$45,700 "
Ball State University	Muncie	 IN	1080	22	"$24,900 "	"$14,400 "	59%	"$25,000 "	"$43,100 "
Unity College	Unity	 ME	NA	NA	"$41,500 "	"$27,000 "	100%	"$27,000 "	"$38,400 "
The Sage Colleges	Troy	 NY	NA	NA	"$46,500 "	"$21,600 "	74%	"$23,300 "	"$43,200 "
Georgian Court University	Lakewood	 NJ	950	20	"$52,200 "	"$24,000 "	97%	"$25,000 "	"$42,700 "
Trinity College	Hartford	 CT	NA	NA	"$73,200 "	"$25,100 "	97%	"$21,000 "	"$55,600 "
